event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-13 11:26:00,view,100035,2003,apparel.shoes,orbit,201.29,500142,ae270da7-02f0-6b90-f143-262fdc5c0eed
2019-10-13 11:28:49,cart,100035,2003,apparel.shoes,orbit,201.29,500142,ae270da7-02f0-6b90-f143-262fdc5c0eed
2019-10-13 11:30:09,purchase,100035,2003,apparel.shoes,orbit,201.29,500142,ae270da7-02f0-6b90-f143-262fdc5c0eed
2019-10-29 18:59:00,view,100033,2001,home.furniture,prime,240.15,500117,e037e5ed-b8db-0672-f42d-47cc00d4af59
2019-10-29 19:00:21,view,100012,2004,appliances.kitchen,alpha,88.01,500117,e037e5ed-b8db-0672-f42d-47cc00d4af59
2019-10-29 19:02:35,view,100007,2007,home.furniture,nova,645.84,500117,e037e5ed-b8db-0672-f42d-47cc00d4af59
2019-10-29 19:03:19,cart,100007,2007,home.furniture,nova,645.84,500117,e037e5ed-b8db-0672-f42d-47cc00d4af59
2019-10-29 19:04:05,purchase,100007,2007,home.furniture,nova,645.84,500117,e037e5ed-b8db-0672-f42d-47cc00d4af59
2019-10-12 05:32:00,view,100002,2002,electronics.audio.headphone,nova,129.89,500136,52fbe43b-9954-6eb4-0025-7ad1eb2263dd
2019-10-12 05:32:19,cart,100002,2002,electronics.audio.headphone,nova,129.89,500136,52fbe43b-9954-6eb4-0025-7ad1eb2263dd
2019-10-12 05:34:49,remove_from_cart,100002,2002,electronics.audio.headphone,nova,129.89,500136,52fbe43b-9954-6eb4-0025-7ad1eb2263dd
2019-10-12 05:34:49,view,100008,2000,home.furniture,zen,202.29,500136,52fbe43b-9954-6eb4-0025-7ad1eb2263dd
2019-10-12 05:36:58,view,100024,2000,home.furniture,,224.11,500136,52fbe43b-9954-6eb4-0025-7ad1eb2263dd
2019-10-12 05:39:19,view,100020,2004,electronics.smartphone,zen,253.79,500136,52fbe43b-9954-6eb4-0025-7ad1eb2263dd
2019-10-19 11:48:00,view,100028,2004,appliances.kitchen,zen,244.63,500141,df57c59a-8715-a103-43da-c0432a45c2ab
2019-10-19 11:50:56,view,100014,2006,home.furniture,orbit,727.38,500141,df57c59a-8715-a103-43da-c0432a45c2ab
2019-10-19 11:52:53,view,100035,2003,apparel.shoes,orbit,201.29,500141,df57c59a-8715-a103-43da-c0432a45c2ab
2019-10-19 11:54:53,cart,100035,2003,apparel.shoes,orbit,201.29,500141,df57c59a-8715-a103-43da-c0432a45c2ab
2019-10-19 11:55:55,purchase,100035,2003,apparel.shoes,orbit,201.29,500141,df57c59a-8715-a103-43da-c0432a45c2ab
2019-10-19 11:55:55,view,100013,2005,electronics.smartphone,orbit,763.51,500141,df57c59a-8715-a103-43da-c0432a45c2ab
2019-10-19 11:56:05,view,100020,2004,electronics.smartphone,zen,253.79,500141,df57c59a-8715-a103-43da-c0432a45c2ab
2019-10-16 08:54:00,view,100005,2005,electronics.smartphone,alpha,88.86,500002,0f1259e0-a18f-f6b6-b535-106e122c9a56
2019-10-16 08:54:23,view,100003,2003,electronics.smartphone,,667.9,500002,0f1259e0-a18f-f6b6-b535-106e122c9a56
2019-10-05 15:01:00,view,100037,2005,electronics.smartphone,alpha,141.79,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-05 15:01:29,view,100031,2007,apparel.shoes,,415.67,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-05 15:03:04,cart,100031,2007,apparel.shoes,,415.67,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-05 15:05:08,remove_from_cart,100031,2007,apparel.shoes,,415.67,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-05 15:05:08,view,100016,2000,apparel.shoes,alpha,499.08,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-05 15:08:00,view,100027,2003,electronics.smartphone,nova,740.51,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-05 15:08:30,cart,100027,2003,electronics.smartphone,nova,740.51,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-05 15:10:01,remove_from_cart,100027,2003,electronics.smartphone,nova,740.51,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-05 15:10:01,view,100013,2005,electronics.smartphone,orbit,763.51,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-05 15:10:55,cart,100013,2005,electronics.smartphone,orbit,763.51,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-05 15:12:54,purchase,100013,2005,electronics.smartphone,orbit,763.51,500055,ef7ddc76-b92d-a22b-21df-306f8a0b3c33
2019-10-26 09:06:00,view,100029,2005,electronics.audio.headphone,prime,789.35,500047,dfde4fbf-3ff3-50bf-766e-cb15474ebc19
2019-10-26 09:06:30,cart,100029,2005,electronics.audio.headphone,prime,789.35,500047,dfde4fbf-3ff3-50bf-766e-cb15474ebc19
2019-10-08 19:49:00,view,100026,2002,home.furniture,nova,617.73,500061,7b3a4e3e-7c52-fa17-680a-c07a2a935d62
